Symbol,Strategy,Interval,TotalTrades,WinRate,TotalReturn,MaxDrawdown,SharpeRatio,ProfitFactor,CandlesUsed,StartDate,EndDate,Parameters
BTCUSDT,"SMA_Crossover(10,50)",1d,8,37.50,0.23,2.45,0.69,1.10,400,2024-12-26,2026-01-31,"{""long_period"":50,""short_period"":10}"
DOGEUSDT,Confluence_Conservative,1d,3,33.33,0.22,2.73,0.65,1.09,400,2024-12-26,2026-01-31,"{""min_confluence"":80,""variant"":""Conservative""}"
SOLUSDT,"SMA_Crossover(20,50)",1d,5,40.00,0.17,3.21,0.45,1.05,400,2024-12-26,2026-01-31,"{""long_period"":50,""short_period"":20}"
BNBUSDT,"SMA_Crossover(20,50)",1d,6,50.00,0.12,1.53,0.49,1.06,400,2024-12-26,2026-01-31,"{""long_period"":50,""short_period"":20}"
ETHUSDT,"RSI_Strategy(14,75,25)",1d,4,25.00,0.12,3.00,0.38,1.05,400,2024-12-26,2026-01-31,"{""overbought"":75,""oversold"":25,""period"":14}"
UNIUSDT,"SMA_Crossover(10,50)",1d,5,40.00,0.09,4.97,0.28,1.02,400,2024-12-26,2026-01-31,"{""long_period"":50,""short_period"":10}"
ETHUSDT,"RSI_Strategy(21,70,30)",1d,4,25.00,0.08,3.13,0.29,1.03,400,2024-12-26,2026-01-31,"{""overbought"":70,""oversold"":30,""period"":21}"
BNBUSDT,"SMA_Crossover(20,100)",1d,2,50.00,0.05,1.34,0.64,1.11,400,2024-12-26,2026-01-31,"{""long_period"":100,""short_period"":20}"
DOTUSDT,"RSI_Strategy(21,70,30)",1d,0,0.00,0.00,0.00,0.00,0.00,400,2024-12-26,2026-01-31,"{""overbought"":70,""oversold"":30,""period"":21}"
LINKUSDT,Adaptive(21/55),1d,15,33.33,-0.17,7.35,0.04,0.99,400,2024-12-26,2026-01-31,null
BTCUSDT,Confluence_Aggressive,1d,21,33.33,-0.34,3.55,-0.29,0.95,400,2024-12-26,2026-01-31,"{""min_confluence"":60,""variant"":""Aggressive""}"
ETHUSDT,"SMA_Crossover(5,20)",1d,17,35.29,-0.38,6.14,-0.21,0.96,400,2024-12-26,2026-01-31,"{""long_period"":20,""short_period"":5}"
BTCUSDT,"SMA_Crossover(20,100)",1d,4,25.00,-0.53,1.39,-3.22,0.61,400,2024-12-26,2026-01-31,"{""long_period"":100,""short_period"":20}"
DOGEUSDT,Adaptive(21/55),1d,15,33.33,-0.54,7.66,-0.18,0.95,400,2024-12-26,2026-01-31,null
XRPUSDT,"RSI_Strategy(7,70,30)",1d,16,37.50,-0.55,7.26,-0.23,0.95,400,2024-12-26,2026-01-31,"{""overbought"":70,""oversold"":30,""period"":7}"
BNBUSDT,"SMA_Crossover(50,200)",1d,1,0.00,-0.55,0.55,0.00,0.00,400,2024-12-26,2026-01-31,"{""long_period"":200,""short_period"":50}"
DOTUSDT,"SMA_Crossover(10,30)",1d,11,36.36,-0.65,4.34,-0.56,0.91,400,2024-12-26,2026-01-31,"{""long_period"":30,""short_period"":10}"
DOTUSDT,"RSI_Strategy(14,65,35)",1d,14,35.71,-0.69,5.98,-0.33,0.94,400,2024-12-26,2026-01-31,"{""overbought"":65,""oversold"":35,""period"":14}"
SOLUSDT,Adaptive(21/55),1d,14,35.71,-0.75,7.77,-0.47,0.92,400,2024-12-26,2026-01-31,null
BNBUSDT,"RSI_Strategy(21,70,30)",1d,5,20.00,-0.82,3.02,-2.93,0.63,400,2024-12-26,2026-01-31,"{""overbought"":70,""oversold"":30,""period"":21}"
LINKUSDT,"SMA_Crossover(10,30)",1d,13,30.77,-0.87,5.86,-0.55,0.91,400,2024-12-26,2026-01-31,"{""long_period"":30,""short_period"":10}"
ETHUSDT,"SMA_Crossover(50,200)",1d,1,0.00,-0.92,1.72,0.00,0.00,400,2024-12-26,2026-01-31,"{""long_period"":200,""short_period"":50}"
LINKUSDT,"RSI_Strategy(14,75,25)",1d,1,0.00,-0.98,2.34,0.00,0.00,400,2024-12-26,2026-01-31,"{""overbought"":75,""oversold"":25,""period"":14}"
LINKUSDT,"SMA_Crossover(10,50)",1d,6,33.33,-1.07,2.33,-2.37,0.71,400,2024-12-26,2026-01-31,"{""long_period"":50,""short_period"":10}"
BTCUSDT,"RSI_Strategy(14,65,35)",1d,15,33.33,-1.14,2.73,-1.42,0.81,400,2024-12-26,2026-01-31,"{""overbought"":65,""oversold"":35,""period"":14}"
BTCUSDT,"RSI_Strategy(21,70,30)",1d,3,0.00,-1.22,1.45,-83.90,0.00,400,2024-12-26,2026-01-31,"{""overbought"":70,""oversold"":30,""period"":21}"
